raison_sociale;libelle_region;cat;finess;Sources;tdp_c_den_etbt;tdp_c_etbt;tdp_c_icbas_etbt;tdp_c_ichaut_etbt;dec_c_den_etbt;dec_c_etbt;dec_c_icbas_etbt;dec_c_ichaut_etbt;trd_c_den_etbt;trd_c_etbt;trd_c_icbas_etbt;trd_c_ichaut_etbt;dtn1_c1_den_etbt;dtn1_c1_etbt;dtn1_c1_icbas_etbt;dtn1_c1_ichaut_etbt
CR LES ARBELLES;Rhône Alpes;Privé;010002129;2013;80;97.31;95.91;98.7;80;97.5;91;99;80;100;100;100;80;86.25;77;93
CENTRE HOSPITALIER PUBLIC HAUTEVILLE-LOMPNES;Rhône Alpes;CH;010007987;2013;80;83.89;80.8;86.99;80;88.75;80;95;80;86.25;77;93;80;80;70;88
CENTRE HOSPITALIER DU HAUT BUGEY;Rhône Alpes;CH;010008407;2013;80;74.88;72.64;77.12;76;77.63;67;86;80;46.25;35;58;76;46.05;35;58
CTRE HOSP INTERCOM AIN VAL DE SAONE;Rhône Alpes;CH;010009132;2013;80;68.74;65.02;72.46;80;57.5;46;69;80;36.25;26;48;80;65;53;75
CENTRE HOSPITALIER BOURG EN BRESSE;Rhône Alpes;CH;010780054;2013;80;84.48;81.94;87.02;72;91.67;83;97;80;71.25;60;81;80;100;100;100
CENTRE HOSPITALIER DE BELLEY;Rhône Alpes;CH;010780062;2013;80;69.21;66.9;71.51;80;87.5;78;94;80;75;64;84;80;83.75;74;91
CENTRE HOSPITALIER MONTPENSIER TREVOUX;Rhône Alpes;CH;010780096;2013;80;73.67;70.39;76.95;80;60;48;71;80;75;64;84;80;78.75;68;87
HOPITAL LOCAL DU PAYS DE GEX;Rhône Alpes;CH;010780112;2013;61;73.05;69.04;77.05;52;11.54;4;23;61;50.82;38;64;51;49.02;35;63
HOPITAL LOCAL DE MEXIMIEUX;Rhône Alpes;CH;010780120;2013;80;79.13;76.63;81.64;75;85.33;75;93;80;96.25;89;99;76;71.05;59;81
HOPITAL LOCAL PONT-DE-VAUX;Rhône Alpes;CH;010780138;2013;80;95.64;94.27;97.01;80;96.25;89;99;80;86.25;77;93;80;78.75;68;87
C.R.F. L'ORCET;Rhône Alpes;ESPIC/EBNL;010780252;2013;80;89.03;86.99;91.07;80;80;70;88;80;91.25;83;97;80;82.5;72;90
C.R.F. MANGINI;Rhône Alpes;ESPIC/EBNL;010780278;2013;80;89.71;87.47;91.95;80;93.75;86;98;80;88.75;80;95;80;57.5;46;69
CENTRE MEDICAL CLAIR SOLEIL;Rhône Alpes;Privé;010780310;2013;80;67.73;65.62;69.85;80;78.75;68;87;80;100;100;100;80;97.5;91;99
SANATORIUM MODERN'HOTEL;Rhône Alpes;Privé;010780328;2013;80;72.64;70.62;74.67;80;71.25;60;81;80;87.5;78;94;80;88.75;80;95
