finess,Sources,lib_reg,code_reg,raison_sociale,lib_cat,repondant,resultat_tda,resultat_trd,tda_c_etbt,tda_c_ichaut_etbt,tda_c_icbas_etbt,tda_c_den_etbt,trd_c_etbt,trd_c_ichaut_etbt,trd_c_icbas_etbt,trd_c_den_etbt
010007300,2015,Auvergne-Rhône-Alpes,84,CLINIQUE AMBULATOIRE CENDANEG,Privé,Oui,Pas de contrôle,Pas de contrôle,64.39,67.24,61.54,60,45,58,32,60
010008407,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER DU HAUT BUGEY,CH,Oui,Pas de contrôle,Pas de contrôle,90.99,93.1,88.88,60,88.37,96,75,43
010780054,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER BOURG EN BRESSE,CH,Oui,Pas de contrôle,Pas de contrôle,73.26,77.12,69.4,60,75.47,86,62,53
010780062,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER DE BELLEY,CH,Oui,Pas de contrôle,Pas de contrôle,57.61,61.23,53.98,60,92.73,98,82,55
010780195,2015,Auvergne-Rhône-Alpes,84,CLINIQUE CONVERT BOURG-EN-B.,Privé,Oui,Pas de contrôle,Pas de contrôle,90.24,93.24,87.23,60,28.57,42,17,56
010780203,2015,Auvergne-Rhône-Alpes,84,CLINIQUE MUTUALISTE - AMBERIEU-EN-B.,Privé,Oui,Pas de contrôle,Pas de contrôle,72.91,75.72,70.09,60,0,0,0,32
020000063,2015,Hauts de France,32,CTRE  HOSP DE SAINT QUENTIN,CH,Oui,Pas de contrôle,Pas de contrôle,92.01,94.64,89.38,60,63.16,78,46,38
020000253,2015,Hauts de France,32,CTRE HOSP DE LAON,CH,Oui,Pas de contrôle,Pas de contrôle,86.91,89.52,84.29,60,100,100,100,58
020000261,2015,Hauts de France,32,CTRE HOSP DE SOISSONS,CH,Oui,Pas de contrôle,Pas de contrôle,62,65.8,58.21,60,22.45,37,12,49
020000287,2015,Hauts de France,32,CENTRE HOSPITALIER DE CHAUNY,CH,Oui,Pas de contrôle,Pas de contrôle,65.3,68.07,62.54,45,31.82,48,19,44
020000360,2015,Hauts de France,32,CLINIQUE SAINT CHRISTOPHE,Privé,Oui,Pas de contrôle,Pas de contrôle,69.03,72.91,65.15,60,61.11,77,43,36
020004404,2015,Hauts de France,32,CTRE HOSP DE CHATEAU-THIERRY,CH,Oui,Pas de contrôle,Pas de contrôle,89.62,92.19,87.05,60,80,90,65,45
020010047,2015,Hauts de France,32,POLICLINIQUE ST CLAUDE,Privé,Oui,Pas de contrôle,Pas de contrôle,82.98,85.79,80.17,60,95.45,99,77,22
030780092,2015,Auvergne-Rhône-Alpes,84,CTRE HOSPITALIER MOULINS YZEURE,CH,Oui,Pas de contrôle,Pas de contrôle,87.44,90.85,84.03,60,75.47,86,62,53
030780100,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER MONTLUCON,CH,Oui,Pas de contrôle,Pas de contrôle,90.23,93.29,87.16,60,52.08,67,37,48
030780118,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER VICHY,CH,Oui,Pas de contrôle,Pas de contrôle,77.46,81.04,73.89,60,54.39,68,41,57
030780548,2015,Auvergne-Rhône-Alpes,84,POLYCL PERGOLA - VICHY,Privé,Oui,Pas de contrôle,Pas de contrôle,84.96,87.98,81.95,60,70.83,83,56,48
030781116,2015,Auvergne-Rhône-Alpes,84,CL ST-FRANC ST ANT -DESERTINE,Privé,Oui,Pas de contrôle,Pas de contrôle,93.08,95.17,91,60,92.59,98,82,54
030785430,2015,Auvergne-Rhône-Alpes,84,POLYCL ST-ODILON - MOULINS,Privé,Oui,Pas de contrôle,Pas de contrôle,98.15,99.08,97.22,60,98.33,99,91,60
040780215,2015,PACA,93,CH MANOSQUE,CH,Oui,Pas de contrôle,Pas de contrôle,85.43,88.77,82.08,60,56,70,41,50
040780470,2015,PACA,93,CLINIQUE CHIR. TOUTES AURES,Privé,Oui,Pas de contrôle,Pas de contrôle,94.24,96.8,91.68,60,55,68,42,60
040788879,2015,PACA,93,CH DIGNE,CH,Oui,Pas de contrôle,Pas de contrôle,66.26,69.52,62.99,60,2,11,0,50
050000090,2015,PACA,93,CLINIQUE DES HAUTES-ALPES,Privé,Oui,Pas de contrôle,Pas de contrôle,95.66,97.53,93.79,60,100,100,100,58
050000116,2015,PACA,93,CH DE BRIANCON,CH,Oui,Pas de contrôle,Pas de contrôle,66.46,70.06,62.85,60,77.78,88,64,54
050002948,2015,PACA,93,CHICAS GAP-SISTERON,CH,Oui,Recueil Validé,Recueil Validé,85.24,87.97,82.51,60,76.36,87,63,55
060000528,2015,PACA,93,CTRE ANTOINE LACASSAGNE,CLCC,Oui,Pas de contrôle,Pas de contrôle,86.38,88.84,83.91,60,93.48,99,82,46
060021417,2015,PACA,93,HOPITAL PRIVE CANNES OXFORD,Privé,Oui,Pas de contrôle,Pas de contrôle,90.83,93.34,88.33,60,72.88,84,60,59
060780442,2015,PACA,93,CLINIQUE SAINT FRANCOIS,Privé,Oui,Pas de contrôle,Pas de contrôle,79.65,82.77,76.53,60,80.95,95,58,21
060780491,2015,PACA,93,INSTITUT ARNAULT TZANCK,Privé,Oui,Pas de contrôle,Pas de contrôle,53.11,57.66,48.55,60,85.11,94,72,47
060780517,2015,PACA,93,POLYCLINIQUE SAINT-JEAN,Privé,Oui,Pas de contrôle,Pas de contrôle,85.56,87.61,83.51,60,100,100,100,54
060780590,2015,PACA,93,CLINIQUE DU PALAIS,Privé,Oui,Pas de contrôle,Pas de contrôle,91.53,93.34,89.71,60,90.91,98,78,44
060780665,2015,PACA,93,CLINIQUE LE MERIDIEN,Privé,Oui,Pas de contrôle,Pas de contrôle,75.43,77.1,73.76,60,17.54,30,9,57
060780699,2015,PACA,93,CLINIQUE MOZART,Privé,Oui,Pas de contrôle,Pas de contrôle,90.54,92.5,88.58,60,86.67,94,75,60
060780715,2015,PACA,93,CLINIQUE SAINT GEORGE,Privé,Oui,Pas de contrôle,Pas de contrôle,98.41,99.35,97.47,60,100,100,100,53
