finess;Raison_sociale;Enquete_obligatoire;Participation;Resultat_doc;doc_c_den_etbt;doc_c_etbt;doc_c_icbas_etbt;doc_c_ichaut_etbt;doc_c_pos_seuil_etbt;doc_c_pos_evol_etbt;Resultat_dtn;dtn2_c2_den_etbt;dtn2_c2_etbt;dtn2_c2_icbas_etbt;dtn2_c2_ichaut_etbt;dtn2_c2_pos_seuil_etbt;dtn2_c2_pos_evol_etbt;Lib_reg
010002129;CR LES ARBELLES;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;90;81;96;A;Stable;Auvergne-Rhône-Alpes
010007987;CENTRE HOSPITALIER PUBLIC HAUTEVILLE-LOMPNES;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;93.75;86;98;A;Stable;Auvergne-Rhône-Alpes
010008407;CENTRE HOSPITALIER DU HAUT BUGEY;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;88.75;80;95;B;Positive;Auvergne-Rhône-Alpes
010009132;CH INTERCOM AIN VAL DE SAONE;Oui;Oui;ES non contrôlé;80;33.75;24;45;C;;ES non contrôlé;80;76.25;65;85;B;Stable;Auvergne-Rhône-Alpes
010780054;CENTRE HOSPITALIER BOURG EN BRESSE;Oui;Oui;ES non contrôlé;70;97.14;90;99;A;;ES non contrôlé;80;83.75;74;91;B;Négative;Auvergne-Rhône-Alpes
010780062;CENTRE HOSPITALIER DE BELLEY;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;66.25;55;76;C;Stable;Auvergne-Rhône-Alpes
010780096;CENTRE HOSPITALIER MONTPENSIER TREVOUX;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;88.75;80;95;B;Stable;Auvergne-Rhône-Alpes
010780112;HOPITAL LOCAL DU PAYS DE GEX;Oui;Oui;ES non contrôlé;49;6.12;1;17;C;;ES non contrôlé;55;81.82;69;91;B;Positive;Auvergne-Rhône-Alpes
010780120;CH DE MEXIMIEUX;Oui;Oui;ES non contrôlé;77;89.61;80;96;B;;ES non contrôlé;80;71.25;60;81;B;Positive;Auvergne-Rhône-Alpes
010780138;CH DE PONT DE VAUX;Oui;Oui;ES non contrôlé;77;93.51;85;98;A;;ES non contrôlé;80;67.5;56;78;C;Stable;Auvergne-Rhône-Alpes
010780252;C.R.F. L'ORCET;Oui;Oui;ES non contrôlé;80;57.5;46;69;C;;ES non contrôlé;80;93.75;86;98;A;Positive;Auvergne-Rhône-Alpes
010780278;C.R.F. MANGINI;Non;Oui;ES non contrôlé;80;86.25;77;93;B;;ES non contrôlé;80;75;64;84;B;Stable;Auvergne-Rhône-Alpes
010780310;CENTRE MEDICAL CLAIR SOLEIL;Oui;Oui;ES non contrôlé;76;78.95;68;88;B;;ES non contrôlé;80;77.5;67;86;B;Stable;Auvergne-Rhône-Alpes
010780328;SANATORIUM MODERN'HOTEL;Oui;Oui;ES non contrôlé;80;73.75;63;83;B;;ES non contrôlé;80;81.25;71;89;B;Stable;Auvergne-Rhône-Alpes
010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;Non;Oui;ES non contrôlé;11;9.09;0;41;C;;ES non contrôlé;1;100;;;Effectif < 10;Non Calculable;Auvergne-Rhône-Alpes
010780708;CH. GLETEINS  JASSANS-RIOTTIER;Oui;Oui;ES non contrôlé;80;10;4;19;C;;ES non contrôlé;80;95;88;99;A;Stable;Auvergne-Rhône-Alpes
010780799;C.R.F. CHATEAU D'ANGEVILLE;Oui;Oui;ES non contrôlé;77;68.83;57;79;C;;ES non contrôlé;79;56.96;45;68;C;Négative;Auvergne-Rhône-Alpes
020000022;CTRE HOSP DE GUISE;Oui;Oui;ES non contrôlé;80;86.25;77;93;B;;ES non contrôlé;80;86.25;77;93;B;Positive;Hauts de France
020000048;CTRE HOSP GERONTOLOGIQUE;Oui;Oui;ES non contrôlé;53;90.57;79;97;B;;ES non contrôlé;59;61.02;47;73;C;Stable;Hauts de France
020000055;CTRE HOSP NOUVION EN THIERACHE;Oui;Oui;ES non contrôlé;47;95.74;85;99;A;;ES non contrôlé;54;90.74;80;97;B;Stable;Hauts de France
020000063;CTRE  HOSP DE SAINT QUENTIN;Oui;Oui;ES non contrôlé;77;84.42;74;92;B;;ES non contrôlé;80;58.75;47;70;C;Positive;Hauts de France
020000071;HOPITAL - MAISON DE RETRAITE;Oui;Oui;ES non contrôlé;78;39.74;29;52;C;;ES non contrôlé;80;96.25;89;99;A;Positive;Hauts de France
020000253;CTRE HOSP DE LAON;Oui;Oui;ES non contrôlé;80;77.5;67;86;B;;ES non contrôlé;80;96.25;89;99;A;Stable;Hauts de France
020000261;CTRE HOSP DE SOISSONS;Oui;Oui;ES non contrôlé;80;48.75;37;60;C;;ES non contrôlé;80;92.5;84;97;A;Stable;Hauts de France
020000287;CENTRE HOSPITALIER DE CHAUNY;Oui;Oui;ES non contrôlé;56;85.71;74;94;B;;ES non contrôlé;76;69.74;58;80;B;Stable;Hauts de France
020000303;LA RENAISSANCE SANITAIRE;Oui;Oui;ES non contrôlé;80;61.25;50;72;C;;ES non contrôlé;80;95;88;99;A;Stable;Hauts de France
020003620;CRF JACQUES FICHEUX;Oui;Oui;ES non contrôlé;80;75;64;84;B;;ES non contrôlé;80;65;53;75;C;Stable;Hauts de France
020004495;CTRE HOSPITALIER BRISSET HIRSON;Oui;Oui;ES non contrôlé;74;95.95;89;99;A;;ES non contrôlé;78;91.03;82;96;A;Stable;Hauts de France
030002158;CH DPT COEUR DU BOURBONNAIS;Oui;Oui;ES non contrôlé;80;68.75;57;79;C;;ES non contrôlé;80;100;100;100;A;Positive;Auvergne-Rhône-Alpes
030180020;HOPITAL DE NERIS LES BAINS;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;100;100;100;A;Stable;Auvergne-Rhône-Alpes
