finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
010780054;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CENTRE HOSPITALIER DE FLEYRIAT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;81;75,09;B;3-Amélioration;81;71.36;81;82.45;81;80.72;81;74.86;81;64.99;81;68.85;51,9;81
010780062;CH DOCTEUR RECAMIER;010000032;CENTRE HOSPITALIER DE BELLEY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;322;71,79;C;3-Amélioration;322;72.47;322;80.88;322;78.53;322;67.13;322;61.38;322;60.61;45,5;319
010780096;CH DE MONTPENSIER TREVOUX;010000065;CH DE TREVOUX - MONTPENSIER;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
010008407;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY - GEOVREISSET;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;87;73,88;C;2-Stable;87;75.98;87;83.1;87;80.15;87;70.24;87;60.19;87;62.16;56,3;87
010780195;CLINIQUE DOCTEUR CONVERT;010780195;CLINIQUE CONVERT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
010780203;HÔPITAL PRIVE D–AMBÉRIEU;010780203;HOPITAL PRIVE D'AMBERIEU;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;293;72,87;C;2-Stable;293;74.31;293;80.73;293;80.12;293;70.14;293;64.93;293;58.76;49,8;293
020000022;CENTRE HOSPITALIER DE GUISE;020000089;CH GUISE;Hauts de France;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CH SAINT-QUENTIN;Hauts de France;1- Obligatoire;1- Oui;107;72,15;C;2-Stable;107;74.07;107;78.59;107;75.93;107;69.93;107;63.83;107;63.26;47,7;107
020000360;CLINIQUE COURLANCY SOISSONS;020000360;CLINIQUE COURLANCY SOISSONS;Hauts de France;1- Obligatoire;1- Oui;85;79,94;A;3-Amélioration;85;78.55;85;84.98;85;85.46;85;78.51;85;68.57;85;76.24;68,2;85
020000253;CH DE LAON;020000394;CH LAON;Hauts de France;1- Obligatoire;1- Oui;93;68,09;D;2-Stable;93;66.18;93;78.7;93;73.86;93;62.74;93;51.43;93;61.02;34,8;92
