finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_ajust;score_all_ajust;classement;evolution;score_AVH_ajust;nb_rep_score_AVH_ajust;score_ACC_ajust;nb_rep_score_ACC_ajust;score_PEC_ajust;nb_rep_score_PEC_ajust;score_CER_ajust;nb_rep_score_CER_ajust;score_OVS_ajust;nb_rep_score_OVS_ajust;taux_reco_brut;nb_reco_brut
010780054;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CENTRE HOSPITALIER DE FLEYRIAT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;143;78,75;B;3-Amélioration;84,9;143;81,3;143;85,41;143;68,82;143;72,5;143;72,7;143
010780062;CH DOCTEUR RECAMIER;010000032;CENTRE HOSPITALIER DE BELLEY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;305;79,26;B;2-Stable;81,08;305;82;305;84,22;305;69,89;305;76,7;305;56,6;304
010008407;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY - GEOVREISSET;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;151;78,26;B;2-Stable;81,61;151;82,39;151;83,71;151;70;151;73,1;151;74,8;151
010007300;CLINIQUE AMBULATOIRE CENDANEG;010007300;CLINIQUE AMBULATOIRE CENDANEG;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;38;78,2;B;4-Non calculable;82,44;38;84,67;38;85,19;38;71,07;38;68,47;38;78,9;38
010780195;CLINIQUE DOCTEUR CONVERT;010780195;CLINIQUE CONVERT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;110;75,23;C;2-Stable;82,17;110;78,33;110;82,1;110;70;110;66,31;110;55,5;110
010780203;HÔPITAL PRIVE D–AMBÉRIEU;010780203;HOPITAL PRIVE D'AMBERIEU;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;713;76,35;C;1-Diminution;76,34;713;80,22;713;81,65;713;73,18;713;71,19;713;55;713
020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CH SAINT-QUENTIN;Hauts de France;1- Obligatoire;1- Oui;133;76,35;C;4-Non calculable;83,61;133;84,2;133;83,34;133;71,46;133;63,78;133;70,7;133
020000360;CLINIQUE COURLANCY SOISSONS;020000360;CLINIQUE COURLANCY SOISSONS;Hauts de France;1- Obligatoire;1- Oui;549;75,24;C;3-Amélioration;78,35;549;79,75;549;80,52;549;72,19;549;67,97;549;63,8;549
020000253;CH DE LAON;020000394;CH LAON;Hauts de France;1- Obligatoire;1- Oui;54;75,66;C;1-Diminution;76,86;54;81,84;54;82,55;54;64,98;54;70,15;54;50;54
020000261;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS;Hauts de France;1- Obligatoire;1- Oui;98;78,14;B;4-Non calculable;77,47;98;80,8;98;83,56;98;75,37;98;73,65;98;54,1;98
020000287;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY;Hauts de France;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CH CHÂTEAU-THIERRY;Hauts de France;1- Obligatoire;1- Oui;53;74,34;C;4-Non calculable;79,57;53;80,18;53;83,69;53;70,2;53;62,24;53;47,2;53
020010047;POLYCLINIQUE SAINT CLAUDE;020010047;HOPITAL PRIVE SAINT CLAUDE;Hauts de France;1- Obligatoire;1- Oui;344;77,81;B;2-Stable;80,37;344;81,17;344;82,97;344;78,17;344;69,88;344;59,6;344
030780092;CENTRE HOSPITALIER MOULINS YZEURE;030000061;CENTRE HOSPITALIER DE MOULINS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;116;80,35;A;3-Amélioration;80,65;116;82,81;116;85,43;116;74,74;116;77,04;116;69,8;116
030780100;CENTRE HOSPITALIER DE MONTLUCON;030000079;CENTRE HOSPITALIER DE MONTLUCON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;32;76,48;C;4-Non calculable;75,51;32;81,12;32;81,91;32;73,78;32;71,21;32;46,9;32
030780118;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;223;75,5;C;2-Stable;75,65;223;79,23;223;83,69;223;75,1;223;66,95;223;54,5;222
030780548;POLYCLINIQUE LA PERGOLA;030780548;POLYCLINIQUE LA PERGOLA;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;87;71,41;D;4-Non calculable;76,59;87;76,6;87;79,79;87;64,12;87;60,86;87;52,9;87
030781116;HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE;030781116;HOPITAL PRIVE SAINT-FRANCOIS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;265;76,23;C;2-Stable;79,38;265;80,88;265;83,41;265;73,14;265;67,05;265;62,2;262
