finess;finess_pmsi;nom_ES;region;type;obligatoire_icsha_v3_mhs;classe_ias_icsha_v3_mhs;res_ias_icsha_v3_mhs;evol_ias_icsha_v3_mhs;obligatoire_icsha_v3_psy;classe_ias_icsha_v3_psy;res_ias_icsha_v3_psy;evol_ias_icsha_v3_psy;obligatoire_dpa_had;classe_DPA_dtn_HAD;res_dpa_dtn_had;evol_dpa_dtn_had;classe_DPA_tre_HAD;res_dpa_tre_had;evol_dpa_tre_had;classe_DPA_coord_HAD;res_dpa_coord_had;evol_dpa_coord_had;classe_DPA_tdp_v3_HAD;res_dpa_tdp_v3_had;evol_dpa_tdp_v3_had;obligatoire_dpa_mco;classe_DPA_qls_v2_MCO;res_dpa_qls_v2_mco;evol_dpa_qls_v2_mco;classe_DPA_pcd_MCO;res_dpa_pcd_mco;evol_dpa_pcd_mco;obligatoire_dpa_ssr;classe_DPA_qls_SSR;res_dpa_qls_ssr;evol_dpa_qls_ssr;classe_DPA_pcd_SSR;res_dpa_pcd_ssr;evol_dpa_pcd_ssr;classe_DPA_pspv_SSR;res_dpa_pspv_ssr;evol_dpa_pspv_ssr;obligatoire_ca_mco;classe_CA_qls_v2_MCO;res_ca_qls_v2_mco;evol_ca_qls_v2_mco;ete_ortho_ratio_oe;ete_ortho_alerte_supe
170000087;170023279;HÔPITAL SAINT-LOUIS - LA ROCHELLE;Nouvelle Aquitaine;CH;1;C;41;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;72%;Non concerné (non comparable);A;95%;Non concerné (non comparable);B;80;Non concerné (non comparable);C;75;Non concerné (non comparable);1;C;5;Non concerné (non comparable);B;80%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;42;Non concerné (non comparable);0.0;0
880000070;880007299;CHIC DE L'OUEST VOSGIEN SITE DE VITTEL;Grand Est;CH;1;C;37;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;7;Non concerné (non comparable);B;90%;Non concerné (non comparable);1;C;47;Non concerné (non comparable);A;94%;Non concerné (non comparable);A;86;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
260001631;260001631;AGDUC CENTRE DIALYSE AMBULATOIRE MONTELIMAR;Auvergne-Rhône-Alpes;Privé;1;A;102;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
340780840;340780840;NEPHROCARE CASTELNAU LE PARC;Occitanie;Privé;1;A;106;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
220012884;220000103;CENTRE HOSPITALIER LANNION;Bretagne;CH;1;C;31;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;48;Non concerné (non comparable);B;84%;Non concerné (non comparable);C;75;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
670795921;670795921;UNITÉ D'AUTODIALYSE AURAL HAGUENAU;Grand Est;Privé;1;C;44;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
2A0023271;2A0000014;CENTRE HOSPITALIER D'AJACCIO;Corse;CH;1;C;35;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;95;Non concerné (non comparable);B;76%;Non concerné (non comparable);A;90;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
640789640;640789640;CENTRE D'HEMODIALYSE DELAY;Nouvelle Aquitaine;Privé;1;A;122;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
630000420;630781003;CH ISSOIRE PAUL ARDIER;Auvergne-Rhône-Alpes;CH;1;C;64;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;61;Non concerné (non comparable);B;88%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;14;Non concerné (non comparable);2.97737446346442;0
060780186;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;PACA;PSPH/EBNL;1;A;137;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;90;Non concerné (non comparable);A;94%;Non concerné (non comparable);A;98;1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
