finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust
010780054;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CH FLEYRIAT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
010780062;CH DOCTEUR RECAMIER;010000032;CH DOCTEUR RECAMIER BELLEY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;103;70.13;D;2-Stable;103;69.79;103;79.61;103;76.18;103;65.29;103;62.29;103;59.26
010780096;CH  MONTPENSIER TREVOUX;010000065;CH MONTPENSIER TREVOUX;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
010008407;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY SITE GEOVREISSET;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
010780195;CLINIQUE DOCTEUR CONVERT;010780195;CLINIQUE CONVERT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;46;74.78;B;2-Stable;46;74.61;46;82.54;46;80.54;46;74.66;46;55.66;46;65.23
010780203;CLINIQUE MUTUALISTE AMBERIEU-EN-BUGEY;010780203;HOPITAL PRIVE D'AMBERIEU;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;165;71.27;C;3-Amélioration;165;71.62;165;79.94;165;80.6;165;62.66;165;60.24;165;62.05
020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CH SAINT-QUENTIN;Hauts de France;1- Obligatoire;1- Oui;53;72.35;C;4-Non calculable;53;74.8;53;80.55;53;79.4;53;69.05;53;59.21;53;61.17
020000360;CLINIQUE COURLANCY SOISSONS;020000360;CLINIQUE COURLANCY SOISSONS;Hauts de France;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
020000253;CH DE LAON;020000394;CH LAON;Hauts de France;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
020000261;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS;Hauts de France;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
020000287;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY;Hauts de France;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
020004404;CENTRE HOSPITALIER DE CHATEAU-THIERRY;020001061;CH CHÂTEAU-THIERRY;Hauts de France;1- Obligatoire;1- Oui;59;69.38;D;4-Non calculable;59;69.03;59;78.45;59;73.17;59;68.28;59;61.92;59;60.07
020004495;CENTRE HOSPITALIER D''HIRSON;020001087;CH HIRSON;Hauts de France;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
020010047;POLYCLINIQUE SAINT CLAUDE;020010047;POLYCLINIQUE SAINT CLAUDE;Hauts de France;1- Obligatoire;1- Oui;109;74.34;B;4-Non calculable;109;74.91;109;81.59;109;80.44;109;74.27;109;57.86;109;64.7
030780092;CENTRE HOSPITALIER MOULINS YZEURE;030000061;CENTRE HOSPITALIER DE MOULINS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;96;71.62;C;2-Stable;96;72.09;96;80.8;96;78.47;96;66.29;96;57.1;96;62.66
030780100;CENTRE HOSPITALIER DE MONTLUCON;030000079;CENTRE HOSPITALIER DE MONTLUCON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;35;66.92;D;2-Stable;35;63.41;35;79.48;35;75.51;35;65.84;35;47.27;35;54.86
030780118;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
030780548;POLYCLINIQUE LA PERGOLA;030780548;POLYCLINIQUE LA PERGOLA;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
030781116;HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE;030781116;HOPITAL PRIVE SAINT-FRANCOIS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
030785430;POLYCLINIQUE SAINT-ODILON;030785430;POLYCLINIQUE SAINT-ODILON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
040780215;CENTRE HOSPITALIER DE MANOSQUE;040000093;CENTRE HOSPITALIER DE MANOSQUE;PACA;1- Obligatoire;1- Oui;42;77.12;B;4-Non calculable;42;76.74;42;85.42;42;83;42;79.3;42;61.18;42;65.29
